Country,TradeType,MonYear,Values
Myanmar,Trade Balance,11/1/2022,386694
Cambodia,Trade Balance,11/1/2022,264585
Laos People's Democratic Republic,Trade Balance,11/1/2022,-2013
"Vietnam, Socialist Republic Of",Trade Balance,11/1/2022,1079773
Japan,Trade Balance,11/1/2022,-333206
Hong Kong,Trade Balance,11/1/2022,5133199
Republic Of Korea,Trade Balance,11/1/2022,-697961
Taiwan,Trade Balance,11/1/2022,-2651842
Macau,Trade Balance,11/1/2022,25848
Mainland China,Trade Balance,11/1/2022,-1512832
Afghanistan,Trade Balance,11/1/2022,246
Bangladesh,Trade Balance,11/1/2022,314063
India,Trade Balance,11/1/2022,629546
"Maldives, Republic Of",Trade Balance,11/1/2022,34609
Nepal,Trade Balance,11/1/2022,11425
Pakistan,Trade Balance,11/1/2022,101096
Sri Lanka,Trade Balance,11/1/2022,121180
Bahrain,Trade Balance,11/1/2022,9514
Cyprus,Trade Balance,11/1/2022,55406
Iran,Trade Balance,11/1/2022,824
Israel,Trade Balance,11/1/2022,36734
Jordan,Trade Balance,11/1/2022,1148
Kuwait,Trade Balance,11/1/2022,-9666
Lebanon,Trade Balance,11/1/2022,2220
Oman,Trade Balance,11/1/2022,-43331
Qatar,Trade Balance,11/1/2022,-304108
Saudi Arabia,Trade Balance,11/1/2022,-760222
Syrian Arab Republic,Trade Balance,11/1/2022,62
United Arab Emirates,Trade Balance,11/1/2022,-304432
Yemen,Trade Balance,11/1/2022,1216
Yemen Democratic,Trade Balance,11/1/2022,0
Canada,Trade Balance,11/1/2022,-127873
Puerto Rico,Trade Balance,11/1/2022,39753
United States,Trade Balance,11/1/2022,-1044691
Argentina,Trade Balance,11/1/2022,13912
Brazil,Trade Balance,11/1/2022,-962209
Chile,Trade Balance,11/1/2022,-5148
Colombia,Trade Balance,11/1/2022,9023
Ecuador,Trade Balance,11/1/2022,3467
Mexico,Trade Balance,11/1/2022,34238
Paraguay,Trade Balance,11/1/2022,345
Peru,Trade Balance,11/1/2022,6496
Uruguay,Trade Balance,11/1/2022,168
Venezuela,Trade Balance,11/1/2022,-238
Australia,Trade Balance,11/1/2022,1216206
Fiji,Trade Balance,11/1/2022,55393
New Caledonia,Trade Balance,11/1/2022,15300
New Zealand,Trade Balance,11/1/2022,501070
Papua New Guinea,Trade Balance,11/1/2022,67543
French Polynesia,Trade Balance,11/1/2022,17107
Guam,Trade Balance,11/1/2022,49292
Solomon Islands,Trade Balance,11/1/2022,7107
Other Countries In Oceania,Trade Balance,11/1/2022,647386
Norway,Trade Balance,11/1/2022,-43134
Liechtenstein,Trade Balance,11/1/2022,-3686
Netherlands Antilles,Trade Balance,11/1/2022,0
Panama,Trade Balance,11/1/2022,-116
Bahamas,Trade Balance,11/1/2022,-4
Bermuda,Trade Balance,11/1/2022,-4
French Guiana,Trade Balance,11/1/2022,-517
Grenada,Trade Balance,11/1/2022,-19
Guatemala,Trade Balance,11/1/2022,-997
Honduras,Trade Balance,11/1/2022,-838
Jamaica,Trade Balance,11/1/2022,-117
St Vincent & The Grenadines,Trade Balance,11/1/2022,0
Trinidad & Tobago,Trade Balance,11/1/2022,-2854
Anguilla,Trade Balance,11/1/2022,0
Other Countries In America,Trade Balance,11/1/2022,-43918
Nauru,Trade Balance,11/1/2022,0
Cocos,Trade Balance,11/1/2022,0
French Southern Territories,Trade Balance,11/1/2022,-99
Norfolk Island,Trade Balance,11/1/2022,0
Cook Islands,Trade Balance,11/1/2022,0
Kiribati,Trade Balance,11/1/2022,-3
Niue,Trade Balance,11/1/2022,0
Tuvalu,Trade Balance,11/1/2022,0
Wallis & Fatuna Islands,Trade Balance,11/1/2022,0
Micronesia,Trade Balance,11/1/2022,-8
Palau,Trade Balance,11/1/2022,0
South Sudan,Trade Balance,11/1/2022,-27952
Commonwealth Of Independent States,Trade Balance,11/1/2022,-355213
Belgium,Imports,10/1/2022,88796
Denmark,Imports,10/1/2022,63719
France,Imports,10/1/2022,1493161
"Germany, Federal Republic Of",Imports,10/1/2022,1122251
Greece,Imports,10/1/2022,15850
Ireland,Imports,10/1/2022,157648
Italy,Imports,10/1/2022,594994
Luxembourg,Imports,10/1/2022,15746
Netherlands,Imports,10/1/2022,263199
United Kingdom,Imports,10/1/2022,859994
Portugal,Imports,10/1/2022,39971
Spain,Imports,10/1/2022,184146
Austria,Imports,10/1/2022,101231
Finland,Imports,10/1/2022,49749
Sweden,Imports,10/1/2022,180230
Switzerland,Imports,10/1/2022,1811943
Malta,Imports,10/1/2022,51734
"Germany, Democratic Republic Of",Imports,10/1/2022,0
Hungary,Imports,10/1/2022,42761
Poland,Imports,10/1/2022,72936
Estonia,Imports,10/1/2022,5489
Latvia,Imports,10/1/2022,2299
Lithuania,Imports,10/1/2022,5892
Slovenia,Imports,10/1/2022,8759
Czech Republic,Imports,10/1/2022,78066
